chord
A
A/B
A/C#
A/E
A/G
A6
A7
A7/C#
Aaug
Ab
Ab/Bb
Ab/Eb
Ab6
Ab7
Ab7/C
Abaug
Abm
Abm6
Abm7
Abmaj7
Adim
Am
Am6
Am7
Am7b5
Am7b5/G
Amaj7
B
B/D#
B/F#
B6
B7
B7/D#
Baug
Bb
Bb/Ab
Bb/C
Bb/D
Bb/F
Bb6
Bb7
Bb7/D
Bbaug
Bbdim
Bbm
Bbm6
Bbm7
Bbm7b5/Ab
Bbmaj7
Bdim
Bm
Bm6
Bm7
Bm7b5
Bm7b5/A
Bmaj7
C
C#
C#/D#
C#/E#
C#/G#
C#6
C#7
C#7/E#
C#m
C#m6
C#m7
C#m7b5/B
C#maj7
C/E
C/G
C6
C7
C7/E
Cm
Cm6
Cm7
Cm7b5
Cm7b5/Bb
Cmaj7
D
D/A
D/C
D/E
D/F#
D6
D7
D7/F#
Daug
Ddim
Dm
Dm6
Dm7
Dm7b5
Dm7b5/C
Dmaj7
E
E/B
E/F#
E/G#
E6
E7
E7/G#
Eb
Eb/Bb
Eb/F
Eb/G
Eb6
Eb7
Eb7/G
Ebdim
Ebm
Ebm6
Ebm7
Ebm7b5
Ebm7b5/Db
Ebmaj7
Em
Em6
Em7
Em7b5
Em7b5/D
Emaj7
F
F#
F#/C#
F#/E
F#6
F#7
F#dim
F#m
F#m6
F#m7
F#m7b5/E
F#maj7
F/C
F6
F7
F7/A
Faug
Fm
Fm7
Fm7b5
Fm7b5/Eb
Fmaj7
G
G/D
G6
G7
Gdim
Gm
Gm6
Gm7
Gm7b5
Gm7b5/F
Gmaj7
N
